Celan Date,Quarter,Product ID,Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Profit/Sales
02.01.2014,2014-Q1,TEC-AC-10001432,541,CA-2014-140795,02.01.2014,2/3/2014,First Class,BD-11500,Bradley Drucker,Consumer,United States,Green Bay,Wisconsin,54302,Central,Technology,Accessories,Enermax Aurora Lite Keyboard,468.9,6,0,"206.316,00",
03.01.2014,2014-Q1,FUR-CH-10004063,158,CA-2014-104269,03.01.2014,3/6/2014,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,"457.568,00",2,0.2,"514.764,00",
03.01.2014,2014-Q1,TEC-PH-10003655,5714,US-2014-143707,03.01.2014,3/5/2014,Standard Class,HR-14770,Hallie Redmond,Home Office,United States,New York City,New York,10035,East,Technology,Phones,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,5.94,3,0,"1.511.376,00",
03.01.2014,2014-Q1,FUR-CH-10000863,6548,CA-2014-113880,03.01.2014,3/5/2014,Standard Class,VF-21715,Vicky Freymann,Home Office,United States,Elmhurst,Illinois,60126,Central,Furniture,Chairs,Novimex Swivel Fabric Task Chair,"634.116,00",6,0.3,"-1.721.172,00",
03.01.2014,2014-Q1,OFF-PA-10003036,6549,CA-2014-113880,03.01.2014,3/5/2014,Standard Class,VF-21715,Vicky Freymann,Home Office,United States,Elmhurst,Illinois,60126,Central,Office Supplies,Paper,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book","17.472,00",3,0.2,"1.783.967,00",
03.01.2014,2014-Q1,OFF-FA-10004395,7948,CA-2014-131009,03.01.2014,3/5/2014,Standard Class,SC-20380,Shahid Collister,Consumer,United States,El Paso,Texas,79907,Central,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,18.84,5,0.2,"-35.325,00",
03.01.2014,2014-Q1,FUR-CH-10001270,7949,CA-2014-131009,03.01.2014,3/5/2014,Standard Class,SC-20380,Shahid Collister,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Chairs,Harbour Creations Steel Folding Chair,362.25,6,0.3,"0,00",
03.01.2014,2014-Q1,FUR-FU-10001095,7950,CA-2014-131009,03.01.2014,3/5/2014,Standard Class,SC-20380,Shahid Collister,Consumer,United States,El Paso,Texas,79907,Central,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,"63.552,00",6,0.6,"-349.536,00",
03.01.2014,2014-Q1,OFF-ST-10001469,7951,CA-2014-131009,03.01.2014,3/5/2014,Standard Class,SC-20380,Shahid Collister,Consumer,United States,El Paso,Texas,79907,Central,Office Supplies,Storage,Fellowes Bankers Box Recycled Super Stor/Drawer,"129.552,00",3,0.2,"-226.716,00",
03.01.2014,2014-Q1,OFF-ST-10003692,8310,CA-2014-168312,03.01.2014,3/7/2014,Standard Class,GW-14605,Giulietta Weimer,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,Recycled Steel Personal File for Hanging File Folders,"137.352,00",3,0.2,"1.441.096,00",
03.01.2014,2014-Q1,FUR-TA-10001866,8311,CA-2014-168312,03.01.2014,3/7/2014,Standard Class,GW-14605,Giulietta Weimer,Consumer,United States,Houston,Texas,77036,Central,Furniture,Tables,Bevis Round Conference Room Tables and Bases,"376.509,00",3,0.3,"-430.296,00",
04.01.2014,2014-Q1,OFF-LA-10002312,1373,US-2014-157021,04.01.2014,4/6/2014,Second Class,KM-16720,Kunst Miller,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Labels,Avery 490,"46.202,00",2,0,"46.248,00",
04.01.2014,2014-Q1,OFF-BI-10000042,1374,US-2014-157021,04.01.2014,4/6/2014,Second Class,KM-16720,Kunst Miller,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Binders,"Pressboard Data Binder, Crimson, 12"" X 8 1/2""","17.088,00",4,0.2,"1.328.144,00",
04.01.2014,2014-Q1,OFF-ST-10000636,7954,CA-2014-138359,04.01.2014,4/6/2014,Standard Class,KH-16330,Katharine Harms,Corporate,United States,Revere,Massachusetts,2151,East,Office Supplies,Storage,Rogers Profile Extra Capacity Storage Tub,66.96,4,0,"1.783.877,00",
04.01.2014,2014-Q1,OFF-BI-10000145,7955,CA-2014-138359,04.01.2014,4/6/2014,Standard Class,KH-16330,Katharine Harms,Corporate,United States,Revere,Massachusetts,2151,East,Office Supplies,Binders,Zipper Ring Binder Pockets,6.24,2,0,"-483.519,00",
06.01.2014,2014-Q1,FUR-CH-10004063,245,CA-2014-131926,06.01.2014,6/6/2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2001.86,7,0,"5.805.394,00",
06.01.2014,2014-Q1,OFF-ST-10002276,246,CA-2014-131926,06.01.2014,6/6/2014,Second Class,DW-13480,Dianna Wilson,Home Office,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Storage,Safco Steel Mobile File Cart,166.72,2,0,41.68,
